id,code,name,full_name
l10n_latam_sv.10740,10740,"Elaboración de macarrones, fideos, y productos farináceos similares","Elaboración de macarrones, fideos, y productos farináceos similares"
l10n_latam_sv.10799,10799,"Elaboración de productos alimenticios ncp","Elaboración de productos alimenticios ncp"
l10n_latam_sv.10791,10791,"Elaboración de productos de café","Elaboración de productos de café"
l10n_latam_sv.10108,10108,"Elaboración de productos de carne ncp","Elaboración de productos de carne ncp"
l10n_latam_sv.10309,10309,"Elaboración de productos de frutas y hortalizas n.c.p.","Elaboración de productos de frutas y hortalizas n.c.p."
l10n_latam_sv.12000,12000,"Elaboración de productos de tabaco","Elaboración de productos de tabaco"
l10n_latam_sv.11043,11043,"Elaboración de refrescos","Elaboración de refrescos"
l10n_latam_sv.10793,10793,"Elaboración de sopas, cremas y consomé","Elaboración de sopas, cremas y consomé"
l10n_latam_sv.10711,10711,"Elaboración de tortillas","Elaboración de tortillas"
l10n_latam_sv.11020,11020,"Elaboración de vinos","Elaboración de vinos"
l10n_latam_sv.10104,10104,"Elaboración y conservación de embutidos y tripas naturales","Elaboración y conservación de embutidos y tripas naturales"
l10n_latam_sv.10106,10106,"Elaboración y conservación de grasas y aceites animales","Elaboración y conservación de grasas y aceites animales"
l10n_latam_sv.10302,10302,"Elaboración y envase de jaleas, mermeladas y frutas deshidratadas","Elaboración y envase de jaleas, mermeladas y frutas deshidratadas"
l10n_latam_sv.45203,45203,"Enderezado y pintura de vehículos automotores","Enderezado y pintura de vehículos automotores"
l10n_latam_sv.71200,71200,"Ensayos y análisis técnicos","Ensayos y análisis técnicos"
l10n_latam_sv.85499,85499,"Enseñanza formal","Enseñanza formal"
l10n_latam_sv.85102,85102,"Enseñanza preescolar o parvularia","Enseñanza preescolar o parvularia"
l10n_latam_sv.85103,85103,"Enseñanza primaria","Enseñanza primaria"
l10n_latam_sv.85212,85212,"Enseñanza secundaria de formación general bachillerato","Enseñanza secundaria de formación general bachillerato"
l10n_latam_sv.85222,85222,"Enseñanza secundaria de formación técnica y profesional integrada con enseñanza primaria","Enseñanza secundaria de formación técnica y profesional integrada con enseñanza primaria"
l10n_latam_sv.85221,85221,"Enseñanza secundaria de formación técnica y profesional","Enseñanza secundaria de formación técnica y profesional"
l10n_latam_sv.85211,85211,"Enseñanza secundaria tercer ciclo (7°, 8* y 9°)","Enseñanza secundaria tercer ciclo (7°, 8* y 9°)"
l10n_latam_sv.85303,85303,"Enseñanza superior integrada a educación secundaria yo primaria","Enseñanza superior integrada a educación secundaria yo primaria"
l10n_latam_sv.85302,85302,"Enseñanza superior no universitaria","Enseñanza superior no universitaria"
l10n_latam_sv.85301,85301,"Enseñanza superior universitaria","Enseñanza superior universitaria"
l10n_latam_sv.64192,64192,"Entidades dedicadas al envío de remesas","Entidades dedicadas al envío de remesas"
l10n_latam_sv.37000,37000,"Evacuación de aguas residuales (alcantarillado)","Evacuación de aguas residuales (alcantarillado)"
l10n_latam_sv.66210,66210,"Evaluación de riesgos y daños","Evaluación de riesgos y daños"
l10n_latam_sv.8990,8990,"Explotación de otras minas y canteras ncp","Explotación de otras minas y canteras ncp"
l10n_latam_sv.6200,6200,"Extracción de gas natural","Extracción de gas natural"
l10n_latam_sv.5100,5100,"Extracción de hulla","Extracción de hulla"
l10n_latam_sv.2200,2200,"Extracción de madera","Extracción de madera"
l10n_latam_sv.7100,7100,"Extracción de minerales de hierro","Extracción de minerales de hierro"
l10n_latam_sv.7210,7210,"Extracción de minerales de uranio y torio","Extracción de minerales de uranio y torio"
l10n_latam_sv.7290,7290,"Extracción de minerales metalíferos no ferrosos","Extracción de minerales metalíferos no ferrosos"
l10n_latam_sv.8910,8910,"Extracción de minerales para la fabricación de abonos y productos quimicos","Extracción de minerales para la fabricación de abonos y productos quimicos"
l10n_latam_sv.6100,6100,"Extracción de petróleo crudo","Extracción de petróleo crudo"
l10n_latam_sv.8100,8100,"Extracción de piedra, arena y arcilla","Extracción de piedra, arena y arcilla"
l10n_latam_sv.8930,8930,"Extracción de sal","Extracción de sal"
l10n_latam_sv.5200,5200,"Extracción y aglomeración de lignito","Extracción y aglomeración de lignito"
l10n_latam_sv.8920,8920,"Extracción y aglomeración de turba","Extracción y aglomeración de turba"
l10n_latam_sv.20120,20120,"Fabricación de abonos y fertilizantes","Fabricación de abonos y fertilizantes"
l10n_latam_sv.32905,32905,"Fabricación de accesorios para las confecciones y la marroquinería n.c.p.","Fabricación de accesorios para las confecciones y la marroquinería n.c.p."
l10n_latam_sv.10401,10401,"Fabricación de aceites y grasas vegetales y animales comestibles","Fabricación de aceites y grasas vegetales y animales comestibles"
l10n_latam_sv.10402,10402,"Fabricación de aceites y grasas vegetales y animales no comestibles","Fabricación de aceites y grasas vegetales y animales no comestibles"
l10n_latam_sv.19202,19202,"Fabricación de aceites y lubricantes","Fabricación de aceites y lubricantes"
l10n_latam_sv.13991,13991,"Fabricación de adornos, etiquetas y otros artículos para prendas de vestir","Fabricación de adornos, etiquetas y otros artículos para prendas de vestir"
l10n_latam_sv.30300,30300,"Fabricación de aeronaves y naves espaciales","Fabricación de aeronaves y naves espaciales"
l10n_latam_sv.11012,11012,"Fabricación de aguardiente y licores","Fabricación de aguardiente y licores"
l10n_latam_sv.11041,11041,"Fabricación de aguas gaseosas","Fabricación de aguas gaseosas"
l10n_latam_sv.20114,20114,"Fabricación de alcohol etilico","Fabricación de alcohol etilico"
l10n_latam_sv.10621,10621,"Fabricación de almidón","Fabricación de almidón"
l10n_latam_sv.27500,27500,"Fabricación de aparatos de uso doméstico","Fabricación de aparatos de uso doméstico"
l10n_latam_sv.26400,26400,"Fabricación de aparatos electrónicos de consumo para audio, video radio y televisión","Fabricación de aparatos electrónicos de consumo para audio, video radio y televisión"
l10n_latam_sv.25200,25200,"Fabricación de armas y municiones","Fabricación de armas y municiones"
l10n_latam_sv.16292,16292,"Fabricación de artesanías de madera, semillas, materiales trenzables","Fabricación de artesanías de madera, semillas, materiales trenzables"
l10n_latam_sv.32903,32903,"Fabricación de artesanías de materiales diversos","Fabricación de artesanías de materiales diversos"
l10n_latam_sv.15123,15123,"Fabricación de artesanías principalmente de cuero natural y sintético","Fabricación de artesanías principalmente de cuero natural y sintético"
l10n_latam_sv.13929,13929,"Fabricación de artículos confeccionados con materiales textiles, excepto prendas de vestir n.c.p","Fabricación de artículos confeccionados con materiales textiles, excepto prendas de vestir n.c.p"
l10n_latam_sv.25930,25930,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería","Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería"
l10n_latam_sv.32301,32301,"Fabricación de artículos de deporte","Fabricación de artículos de deporte"
l10n_latam_sv.23950,23950,"Fabricación de artículos de hormigón, cemento y yeso","Fabricación de artículos de hormigón, cemento y yeso"
l10n_latam_sv.17091,17091,"Fabricación de artículos de papel y cartón de uso personal y doméstico","Fabricación de artículos de papel y cartón de uso personal y doméstico"
l10n_latam_sv.14200,14200,"Fabricación de artículos de piel","Fabricación de artículos de piel"
l10n_latam_sv.32904,32904,"Fabricación de artículos de uso personal y domésticos n.c.p.","Fabricación de artículos de uso personal y domésticos n.c.p."
l10n_latam_sv.25992,25992,"Fabricación de artículos metálicos de uso personal yo doméstico","Fabricación de artículos metálicos de uso personal yo doméstico"
l10n_latam_sv.30920,30920,"Fabricación de bicicletas y sillones de ruedas para inválidos","Fabricación de bicicletas y sillones de ruedas para inválidos"
l10n_latam_sv.10794,10794,"Fabricación de bocadillos tostados yo fritos","Fabricación de bocadillos tostados yo fritos"
l10n_latam_sv.30110,30110,"Fabricación de buques","Fabricación de buques"
l10n_latam_sv.27310,27310,"Fabricación de cables de fibra óptica","Fabricación de cables de fibra óptica"
l10n_latam_sv.10730,10730,"Fabricación de cacao, chocolates y productos de confitería","Fabricación de cacao, chocolates y productos de confitería"
l10n_latam_sv.14301,14301,"Fabricación de calcetines, calcetas, medias (panty house) y otros similares","Fabricación de calcetines, calcetas, medias (panty house) y otros similares"
l10n_latam_sv.15201,15201,"Fabricación de calzado","Fabricación de calzado"
l10n_latam_sv.29200,29200,"Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semiremolques","Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semiremolques"
l10n_latam_sv.23940,23940,"Fabricación de cemento, cal y yeso","Fabricación de cemento, cal y yeso"
l10n_latam_sv.11030,11030,"Fabricacion de cerveza","Fabricacion de cerveza"
l10n_latam_sv.28140,28140,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión","Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión"
l10n_latam_sv.31001,31001,"Fabricación de colchones y somier","Fabricación de colchones y somier"
l10n_latam_sv.19201,19201,"Fabricación de combustible","Fabricación de combustible"
l10n_latam_sv.26100,26100,"Fabricación de componentes electrónicos","Fabricación de componentes electrónicos"
l10n_latam_sv.26200,26200,"Fabricación de computadoras y equipo conexo","Fabricación de computadoras y equipo conexo"
l10n_latam_sv.22110,22110,"Fabricación de cubiertas y cámaras; renovación y recauchutado de cubiertas","Fabricación de cubiertas y cámaras; renovación y recauchutado de cubiertas"
l10n_latam_sv.13941,13941,"Fabricación de cuerdas de henequén y otras fibras naturales (lazos, pitas)","Fabricación de cuerdas de henequén y otras fibras naturales (lazos, pitas)"
l10n_latam_sv.27330,27330,"Fabricación de dispositivos de cableados","Fabricación de dispositivos de cableados"
l10n_latam_sv.22201,22201,"Fabricacion de envases plasticos","Fabricacion de envases plasticos"
l10n_latam_sv.25991,25991,"Fabricación de envases y artículos conexos de metal","Fabricación de envases y artículos conexos de metal"
l10n_latam_sv.16230,16230,"Fabricacion de envases y recipientes de madera","Fabricacion de envases y recipientes de madera"
l10n_latam_sv.26300,26300,"Fabricación de equipo de comunicaciones","Fabricación de equipo de comunicaciones"
l10n_latam_sv.28160,28160,"Fabricación de equipo de elevación y manipulación","Fabricación de equipo de elevación y manipulación"
